1	0.67383
2	0.68564
3	0.68578
4	0.68018
5	0.67615
6	0.67966
7	0.68199
8	0.68073
9	0.67884
10	0.67956
11	0.68103
12	0.6811
13	0.6797
14	0.68016
15	0.68038
16	0.68059
17	0.68032
18	0.68036
19	0.68021
20	0.68074
21	0.68064
22	0.68056
23	0.68074
24	0.68097
25	0.68097
26	0.68092
27	0.68123
28	0.68097
29	0.68099
30	0.68133
31	0.68146
32	0.6812
33	0.68148
34	0.68159
35	0.6814
36	0.68178
37	0.68159
38	0.68128
39	0.68153
40	0.68186
41	0.68162
42	0.68217
43	0.68179
44	0.68164
45	0.68211
46	0.68181
47	0.68196
48	0.6823
49	0.68217
50	0.6822
